Recorder,EntregaLagunaGrande,EntregaLagunaChica,EvapLagunaChica,EntradaLagunaChica ,LagunaChicaStorage,EvapLagunaGrande,EntradaLagunaGrande,LagunaGrandeStorage,EvapSantaJuana,EntradaSantaJuana,rStaJuanaAbajo,InfSantaJuana,SantaJuanaStorage
2003-01,0.0,8.263348852913758e-16,0.0031540368775908323,0.0009398182406723708,3462176.731397952,0.005355238710691559,0.0018684687268516742,6933897.043031022,0.3874185016078432,26.02295005299999,25.976118863182638,0.03403368820952083,169880000.0
2003-02,0.0,3.684295666904223e-17,0.002167834043476449,0.0005610400111197571,3458289.5752748745,0.0032995375899257406,0.0011158210519606707,6928614.195982377,0.3403205661182622,14.918737719000005,14.921232464672217,0.03403368820952083,169880000.0
2003-03,0.0,-5.210646728907401e-16,0.0020314781393958497,0.0003052740403409093,3453666.110215967,0.0024553885101315657,0.0006073617801062708,6923664.441188677,0.29929978359507886,10.173782053,10.1462525811954,0.03403368820952083,169880000.0
2003-04,0.0,5.26327952414889e-18,0.001435494472387065,0.0010573017780084511,3452685.834752138,0.0028294974623146087,0.0021048792448288473,6921786.230768954,0.18687245371672437,7.59621,7.655409858073755,0.03403368820952083,169880000.0
2003-05,0.0,1.5395092608135505e-16,0.000489177700327055,0.008611893465542343,3474441.71665769,0.0008945425606999188,0.017144796282593234,6965310.9103376735,0.13521665350234527,6.536784053,6.621644711288136,0.03403368820952083,169880000.0
2003-06,0.0,9.079157179156836e-17,0.0,0.000496436163522563,3475728.47919354,0.0003202910638567746,0.0009883060352950744,6967042.405143642,0.11698519460315264,5.942953619999999,6.045118737187326,0.03403368820952083,169880000.0
2003-07,0.0,0.0,0.0,0.0057391386985764185,3491100.188283807,0.0001901671701855032,0.011424097286180655,6997131.363566323,0.13521665350234527,5.191662549172523,5.251895207460658,0.03403368820952083,169880000.0
2003-08,0.0,0.0,0.0,0.0013755281451819723,3494784.4028678625,0.0018837233414888631,0.0027377876295408307,6999418.889355442,0.17471814778392927,4.817205923000001,4.922397462986345,0.03403368820952083,169610442.13857573
2003-09,0.0,0.0,0.00024992556960113147,0.0008895398792623028,3496442.2831585044,0.005683719594500878,0.0017692107929907102,6989272.482541927,0.21236285057161247,4.611649450000001,4.761547531190137,0.03397968510020755,169113494.52366954
2003-10,0.0,0.0,0.008227636904783108,0.0009833143299996887,3477039.0895742043,0.011252260076887666,0.0019519583093602613,6964362.554287782,0.2616509351573323,5.656763052999999,5.876220765232763,0.03388012682270472,168154116.35401797
2003-11,0.0,0.0,0.004090033658099937,0.0009132072696475388,3468804.7555753356,0.00621132553977252,0.0018164093112503009,6952970.931423453,0.29926677524656037,5.8703829999999995,6.212676385818524,0.03368792540110746,166781092.25789762
2003-12,0.0,0.0,0.0014676850918870314,0.0003953562353936558,3465932.629966104,0.0025787455214970538,0.0007869582838929981,6948171.808486254,0.3549945577376336,4.663583317999999,5.279920342009113,0.0334128543274583,164429790.68991646
